region_code,region_name,state_name,population_hhri_2022,population_age_2024,area_sqkm,population_density_per_sqkm,hhri,hhri_quintile,exposure_index,exposure_quintile,vulnerability_index,vulnerability_quintile,housing_index,health_status_index,adaptive_capacity_index,ses_index,household_composition_index,language_culture_index,cool_places_index,social_connectedness_index,health_access_index,pct_children_0_14_2024,pct_working_age_15_64_2024,pct_65_plus_2024,median_age_2024,sex_ratio_2024,seifa_irsd_score,seifa_irsd_decile,seifa_irsad_score,seifa_irsad_decile,custom_simple_score,chart_status
102011041,Wamberal - Forresters Beach,New South Wales,10671.0,10862.0,13.7221,777.650651139403,0.039,1.0,0.227,2.0,0.096,1.0,0.156,0.402,0.77,0.13,0.263,0.178,0.868,0.736,0.254,19.6,59.1,21.3,42.9,95.3,1081.0,9.0,1077.0,9.0,0.222,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
102011042,Woy Woy - Blackwall,New South Wales,14271.0,14554.0,17.3963,820.3468553657962,0.528,3.0,0.048,1.0,0.93,5.0,0.645,0.973,0.429,0.881,0.977,0.519,0.777,0.283,0.396,15.7,58.1,26.2,46.9,92.0,951.0,3.0,946.0,3.0,0.633,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
102011043,Wyoming,New South Wales,11339.0,11339.0,8.381,1352.941176470588,0.495,3.0,0.408,3.0,0.773,4.0,0.353,0.949,0.684,0.66,0.932,0.414,0.556,0.53,0.671,18.6,59.4,22.0,41.1,93.2,981.0,4.0,959.0,4.0,0.56,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
102021044,Bateau Bay - Killarney Vale,New South Wales,22894.0,22990.0,10.8595,2108.200193379069,0.46,3.0,0.477,3.0,0.706,4.0,0.357,0.841,0.748,0.665,0.906,0.304,0.867,0.502,0.462,19.8,58.9,21.4,40.4,92.9,991.0,4.0,966.0,4.0,0.527,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
102021045,Blue Haven - San Remo,New South Wales,11459.0,11620.0,20.9795,546.1998617698229,0.564,3.0,0.386,2.0,0.815,5.0,0.741,0.821,0.6,0.813,0.818,0.269,0.867,0.32,0.465,22.1,64.5,13.4,34.1,95.8,920.0,2.0,886.0,1.0,0.633,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
102021046,Budgewoi - Buff Point - Halekulani,New South Wales,9868.0,9967.0,9.3297,1057.697460797239,0.593,3.0,0.358,2.0,0.797,4.0,0.45,0.957,0.501,0.817,0.969,0.203,0.841,0.399,0.298,17.2,57.6,25.2,44.7,96.6,954.0,3.0,918.0,2.0,0.612,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
102021047,Chittaway Bay - Tumbi Umbi,New South Wales,16182.0,16354.0,24.4986,660.5275403492444,0.316,2.0,0.291,2.0,0.487,3.0,0.235,0.757,0.569,0.44,0.737,0.29,0.69,0.584,0.346,19.8,60.7,19.5,39.7,93.4,1018.0,6.0,988.0,5.0,0.44,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
102021048,Gorokan - Kanwal - Charmhaven,New South Wales,22575.0,22740.0,11.249,2006.84505289359,0.636,4.0,0.298,2.0,0.942,5.0,0.734,0.976,0.513,0.893,0.987,0.496,0.707,0.247,0.593,16.4,60.7,22.8,41.8,93.5,917.0,2.0,891.0,1.0,0.687,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
102021049,Jilliby - Yarramalong,New South Wales,3449.0,3566.0,346.7662,9.946182759450027,0.396,2.0,0.572,3.0,0.084,1.0,0.219,0.415,0.316,0.256,0.033,0.132,0.267,0.919,0.128,16.1,64.8,19.1,44.5,106.2,1060.0,8.0,1060.0,8.0,0.395,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
102021050,Lake Munmorah - Mannering Park,New South Wales,11030.0,11055.0,35.4946,310.7514945935438,0.533,3.0,0.447,3.0,0.718,4.0,0.225,0.988,0.608,0.838,0.904,0.16,0.889,0.558,0.215,14.4,51.0,34.6,53.7,94.0,952.0,3.0,906.0,2.0,0.554,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
